# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.466787062481215571e+02	7.693669668630899764e-04
-7.466453732005882102e+02	7.854141258644871393e-04
-7.466120401530547497e+02	7.746475792624526189e-04
-7.465787071055212891e+02	7.786467118597631106e-04
-7.465453740579878286e+02	7.805159608859499809e-04
-7.465120410104543680e+02	7.820265144724220310e-04
-7.464787079629209074e+02	7.978294910252175642e-04
-7.464453749153875606e+02	7.720104577431395653e-04
-7.464120418678541000e+02	7.501272925007574028e-04
-7.463787088203206395e+02	7.435994706283475522e-04
-7.463453757727871789e+02	7.679453777433216692e-04
-7.463120427252537183e+02	7.683396275592598110e-04
-7.462787096777203715e+02	7.321709693039469809e-04
-7.462453766301869109e+02	7.646372138638101021e-04
-7.462120435826534504e+02	7.716846200697053456e-04
-7.461787105351199898e+02	7.373295116050967209e-04
-7.461453774875865292e+02	8.068934547072104026e-04
-7.461120444400530687e+02	7.773148344761440873e-04
-7.460787113925197218e+02	7.971113726074882449e-04
-7.460453783449862613e+02	7.666490025501753467e-04
-7.460120452974528007e+02	7.851107689134521114e-04
-7.459787122499193401e+02	7.914288483910535349e-04
-7.459453792023858796e+02	7.835631812700906591e-04
-7.459120461548524190e+02	7.631305413596713855e-04
-7.458787131073190722e+02	7.248611506530389104e-04
-7.458453800597856116e+02	7.484615859371074971e-04
-7.458120470122521510e+02	7.760047022811475750e-04
-7.457787139647186905e+02	7.459429448409155569e-04
-7.457453809171852299e+02	7.363796835781732377e-04
-7.457120478696517694e+02	7.044201058167170234e-04
-7.456787148221184225e+02	7.228532412469638926e-04
-7.456453817745849619e+02	7.080184445816551644e-04
-7.456120487270515014e+02	7.405259104888789684e-04
-7.455787156795180408e+02	7.508645388261342771e-04
-7.455453826319845803e+02	7.311662311846195157e-04
-7.455120495844511197e+02	7.483809836928489523e-04
-7.454787165369177728e+02	8.005474371207835574e-04
-7.454453834893843123e+02	8.397835417225174093e-04
-7.454120504418508517e+02	7.796267249855298948e-04
-7.453787173943173912e+02	8.148915049615890237e-04
-7.453453843467839306e+02	8.386477452152899578e-04
-7.453120512992504700e+02	8.723572153263502117e-04
-7.452787182517171232e+02	8.395233231639080739e-04
-7.452453852041836626e+02	8.792275968023556933e-04
-7.452120521566502021e+02	8.628137662838989991e-04
-7.451787191091167415e+02	8.466914964255160391e-04
-7.451453860615832809e+02	8.424113709631912044e-04
-7.451120530140499341e+02	8.297635084968140633e-04
-7.450787199665164735e+02	8.292057892740814897e-04
-7.450453869189830129e+02	8.279092898757071418e-04
-7.450120538714495524e+02	8.099082625176920718e-04
-7.449787208239160918e+02	8.536948844538944569e-04
-7.449453877763826313e+02	7.988464626129899906e-04
-7.449120547288492844e+02	7.880552496199731997e-04
-7.448787216813158238e+02	8.241650197868112624e-04
-7.448453886337823633e+02	8.430197475983360750e-04
-7.448120555862489027e+02	8.511861194719884871e-04
-7.447787225387154422e+02	8.053845623272689767e-04
-7.447453894911819816e+02	8.455790598514742028e-04
-7.447120564436486347e+02	8.452053749727076381e-04
-7.446787233961151742e+02	8.520257797565104069e-04
-7.446453903485817136e+02	8.685866287884648398e-04
-7.446120573010482531e+02	8.755270320717946234e-04
