# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.458453800597856116e+02	7.271763009355040061e-04
-7.458120470122521510e+02	7.080764273278461517e-04
-7.457787139647186905e+02	7.093731020466242021e-04
-7.457453809171852299e+02	7.010303601315261103e-04
-7.457120478696517694e+02	6.788357856786741669e-04
-7.456787148221184225e+02	6.990992308044175797e-04
-7.456453817745849619e+02	7.149131272377504641e-04
-7.456120487270515014e+02	7.535698683116968987e-04
-7.455787156795180408e+02	7.811652371997832587e-04
-7.455453826319845803e+02	8.365128902591499041e-04
-7.455120495844511197e+02	8.532548827785775732e-04
-7.454787165369177728e+02	9.177643310132683942e-04
-7.454453834893843123e+02	9.311087811462856120e-04
-7.454120504418508517e+02	9.282132117449028597e-04
-7.453787173943173912e+02	9.338153264045064537e-04
-7.453453843467839306e+02	9.255725542101201188e-04
-7.453120512992504700e+02	9.225762849210142292e-04
-7.452787182517171232e+02	8.746890192707615277e-04
-7.452453852041836626e+02	8.958822408500001803e-04
-7.452120521566502021e+02	8.643595414623219016e-04
-7.451787191091167415e+02	8.414452951588627556e-04
-7.451453860615832809e+02	8.146424537564744221e-04
-7.451120530140499341e+02	8.066986097153423492e-04
-7.450787199665164735e+02	8.150662876311011527e-04
-7.450453869189830129e+02	8.174134004912523730e-04
-7.450120538714495524e+02	8.381915507566062946e-04
-7.449787208239160918e+02	8.306098500207202088e-04
-7.449453877763826313e+02	8.561328973668132442e-04
-7.449120547288492844e+02	8.856048424192232600e-04
-7.448787216813158238e+02	8.867898594028414492e-04
-7.448453886337823633e+02	8.921668029301750482e-04
-7.448120555862489027e+02	9.164074512186372659e-04
-7.447787225387154422e+02	9.229491647697379494e-04
-7.447453894911819816e+02	9.197720975511263723e-04
-7.447120564436486347e+02	9.374623683313030838e-04
-7.446787233961151742e+02	9.325432184280986123e-04
-7.446453903485817136e+02	9.264601829757280376e-04
-7.446120573010482531e+02	9.178504092112222019e-04
-7.445787242535147925e+02	9.255947520213299350e-04
-7.445453912059813320e+02	8.847351581398223011e-04
-7.445120581584479851e+02	8.871193776854335074e-04
-7.444787251109145245e+02	8.644111479165700936e-04
-7.444453920633810640e+02	8.486646445391238464e-04
-7.444120590158476034e+02	8.677130198627661540e-04
-7.443787259683141428e+02	8.626076407532666784e-04
-7.443453929207806823e+02	8.814296621747761459e-04
-7.443120598732473354e+02	8.864650483985156816e-04
-7.442787268257138749e+02	8.998141114667177745e-04
-7.442453937781804143e+02	9.198506142765870046e-04
-7.442120607306469537e+02	8.966552993940945853e-04
-7.441787276831134932e+02	9.379373523286344905e-04
-7.441453946355800326e+02	9.261004958091207696e-04
-7.441120615880466858e+02	9.171215896469666869e-04
-7.440787285405132252e+02	9.169740750807885707e-04
-7.440453954929797646e+02	9.236456211800636151e-04
-7.440120624454463041e+02	9.003656529915424330e-04
-7.439787293979128435e+02	8.561622083261626829e-04
-7.439453963503794967e+02	8.326281162460301335e-04
-7.439120633028460361e+02	8.183134405592985524e-04
