# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.440453954929797646e+02	9.420122844399754719e-04
-7.440120624454463041e+02	9.229134503643438318e-04
-7.439787293979128435e+02	9.607581212443236417e-04
-7.439453963503794967e+02	8.883328096866091334e-04
-7.439120633028460361e+02	9.121413709879865267e-04
-7.438787302553125755e+02	9.121982978100577795e-04
-7.438453972077791150e+02	9.358497966737041023e-04
-7.438120641602456544e+02	8.396110655684870363e-04
-7.437787311127121939e+02	9.443668129750774258e-04
-7.437453980651788470e+02	9.153485579557188098e-04
-7.437120650176453864e+02	8.441853543787296039e-04
-7.436787319701119259e+02	9.937320790911908369e-04
-7.436453989225784653e+02	9.044253492375886518e-04
-7.436120658750450048e+02	1.009441853348094472e-03
-7.435787328275115442e+02	8.910990872670511301e-04
-7.435453997799781973e+02	8.914335975672201678e-04
-7.435120667324447368e+02	8.856312531360545489e-04
-7.434787336849112762e+02	1.003227934899124894e-03
-7.434454006373778157e+02	9.125207928590369942e-04
-7.434120675898443551e+02	9.637126881402093437e-04
-7.433787345423108945e+02	9.472565954627311510e-04
-7.433454014947775477e+02	9.764053357311922639e-04
-7.433120684472440871e+02	9.073452948788629123e-04
-7.432787353997106266e+02	9.485171229839117497e-04
-7.432454023521771660e+02	9.790986520916429136e-04
-7.432120693046437054e+02	9.175382169617382578e-04
-7.431787362571102449e+02	9.622428317333708500e-04
-7.431454032095768980e+02	9.123248538521552689e-04
-7.431120701620434374e+02	9.556832978166248001e-04
-7.430787371145099769e+02	9.199673874570539044e-04
-7.430454040669765163e+02	9.501911750014378983e-04
-7.430120710194430558e+02	9.091570715616255046e-04
-7.429787379719095952e+02	8.822675340320653694e-04
-7.429454049243762483e+02	9.660889407086956570e-04
-7.429120718768427878e+02	1.004370305024744267e-03
-7.428787388293093272e+02	9.607441465519965876e-04
-7.428454057817758667e+02	9.239460926502246572e-04
-7.428120727342424061e+02	9.725344551218827226e-04
